Rotational speed(RPM),Weilding speed(mm/min),Axial load(kN),ultimate tensile strength(MPa),Tensile elongation (%),
1500,30,6,108.31,10.97,
1900,30,6,109.33,9.23,
1500,90,6,109.32,11.45,
1900,90,6,101.06,9.45,
1700,60,3,122.25,12.38,
1700,60,9,127.09,10.16,
1700,60,3,117.64,11.37,
1700,60,9,124.31,9.72,
1500,60,6,122.34,11.26,
1900,60,6,119.06,10.54,
1500,60,6,120.21,11.1,
1900,60,6,115.37,9.11,
1700,30,3,107.34,11.56,
1700,90,3,106.13,11.77,
1700,30,9,116.31,10.03,
1700,90,9,112.31,10.49,
1500,60,3,118.52,12.28,
1900,60,3,115.98,10.12,
1500,60,9,122.66,10.26,
1900,60,9,124.22,9.37,
1700,30,6,115.32,10.67,
1700,90,6,104.34,11.67,
1700,30,6,110.27,9.92,
1700,90,6,108.31,10.89,
1700,60,6,138.4,12.11,
1700,60,6,143.64,12.25,
1700,60,6,139.21,12.12,
1700,60,6,139.28,12.48,
1700,60,6,139.91,12.45,
1700,60,6,141.34,12.38,
